time_s	force_N
16.957440	1.058151
16.959510	1.058151
16.961580	-0.109821
16.963650	0.668827
16.965720	1.447475
16.967790	0.668827
16.969860	1.058151
16.971930	0.668827
16.974000	-0.109821
16.976070	-0.109821
16.978140	0.668827
16.980210	0.279503
16.982280	0.279503
16.984350	0.668827
16.986420	0.668827
16.988490	0.279503
16.990560	0.668827
16.992630	1.447475
16.994700	0.668827
16.996770	0.668827
16.998840	0.668827
17.000910	0.668827
17.002980	0.668827
17.005050	0.279503
17.007120	1.447475
17.009190	0.668827
17.011260	0.279503
17.013330	0.279503
17.015400	0.668827
17.017470	0.668827
17.019540	0.668827
17.021610	1.058151
17.023680	1.058151
17.025750	1.058151
17.027820	0.668827
17.029890	0.279503
17.031960	0.668827
17.034030	0.279503
17.036100	0.668827
17.038170	0.279503
17.040240	0.668827
17.042310	0.279503
17.044380	1.058151
17.046450	0.279503
17.048520	1.447475
17.050590	-0.109821
17.052660	0.668827
17.054730	0.279503
17.056800	0.668827
17.058870	0.668827
17.060940	0.668827
17.063010	1.836799
17.065080	0.668827
17.067150	0.279503
17.069220	-0.109821
17.071290	0.668827
17.073360	0.279503
17.075430	0.279503
17.077500	1.058151
17.079570	0.668827
17.081640	0.279503
17.083710	1.058151
17.085780	0.668827
17.087850	0.668827
17.089920	0.668827
17.091990	0.668827
17.094060	0.668827
17.096130	1.058151
17.098200	0.279503
17.100270	0.668827
17.102340	0.668827
17.104410	1.058151
17.106480	0.668827
17.108550	0.668827
17.110620	0.279503
17.112690	-0.109821
17.114760	0.279503
17.116830	0.668827
17.118900	0.668827
17.120970	0.668827
17.123040	1.058151
17.125110	-0.109821
17.127180	-0.109821
17.129250	0.279503
17.131320	1.058151
17.133390	0.279503
17.135460	0.668827
17.137530	-0.109821
17.139600	1.058151
17.141670	0.279503
17.143740	1.058151
17.145810	1.058151
17.147880	0.668827
17.149950	0.279503
17.152020	0.668827
17.154090	1.058151
17.156160	0.279503
17.158230	0.668827
17.160300	0.279503
17.162370	0.668827
17.164440	0.279503
17.166510	0.279503
17.168580	0.668827
17.170650	-0.109821
17.172720	-0.109821
17.174790	1.058151
17.176860	0.668827
17.178930	0.668827
17.181000	0.279503
17.183070	-0.109821
17.185140	0.668827
17.187210	1.058151
17.189280	0.668827
17.191350	1.058151
17.193420	-0.109821
17.195490	1.447475
17.197560	1.058151
17.199630	1.447475
17.201700	0.668827
17.203770	-0.109821
17.205840	1.058151
17.207910	0.668827
17.209980	0.668827
17.212050	0.668827
17.214120	1.058151
17.216190	0.668827
17.218260	-0.109821
17.220330	1.058151
17.222400	-0.109821
17.224470	0.668827
17.226540	-0.109821
17.228610	-0.109821
17.230680	0.668827
17.232750	0.279503
17.234820	0.279503
17.236890	1.447475
17.238960	0.668827
17.241030	0.668827
17.243100	0.668827
17.245170	0.668827
17.247240	0.668827
17.249310	0.668827
17.251380	0.668827
17.253450	0.279503
17.255520	1.447475
17.257590	1.058151
17.259660	-0.109821
17.261730	0.668827
17.263800	1.447475
17.265870	0.668827
17.267940	0.668827
17.270010	1.447475
17.272080	0.668827
17.274150	1.836799
17.276220	0.668827
17.278290	1.058151
17.280360	-0.109821
17.282430	-0.109821
17.284500	0.279503
17.286570	1.058151
17.288640	0.668827
17.290710	0.279503
17.292780	0.279503
17.294850	1.058151
17.296920	0.279503
17.298990	1.058151
17.301060	0.279503
17.303130	0.668827
17.305200	0.668827
17.307270	0.668827
17.309340	1.058151
17.311410	1.058151
17.313480	0.279503
17.315550	-0.109821
17.317620	1.058151
17.319690	1.058151
17.321760	-0.109821
17.323830	1.058151
17.325900	0.279503
17.327970	1.058151
17.330040	0.668827
17.332110	1.058151
17.334180	1.058151
17.336250	0.279503
17.338320	0.668827
17.340390	0.279503
17.342460	0.668827
17.344530	0.279503
17.346600	0.668827
17.348670	-0.109821
17.350740	1.058151
17.352810	0.668827
17.354880	-0.499145
17.356950	1.058151
17.359020	0.668827
17.361090	0.668827
17.363160	0.279503
17.365230	0.279503
17.367300	0.668827
17.369370	0.668827
17.371440	0.668827
17.373510	0.279503
17.375580	1.058151
17.377650	0.668827
17.379720	0.668827
17.381790	0.279503
17.383860	0.279503
17.385930	0.279503
17.388000	0.279503
17.390070	0.279503
17.392140	-0.109821
17.394210	0.668827
17.396280	1.058151
17.398350	0.668827
17.400420	0.668827
17.402490	0.279503
17.404560	1.058151
17.406630	0.279503
17.408700	0.668827
17.410770	0.279503
17.412840	-0.109821
17.414910	1.447475
17.416980	0.668827
17.419050	1.058151
17.421120	0.279503
17.423190	1.058151
17.425260	0.279503
17.427330	0.279503
17.429400	1.058151
17.431470	0.279503
17.433540	1.058151
17.435610	0.279503
17.437680	0.668827
17.439750	0.668827
17.441820	0.279503
17.443890	0.668827
17.445960	0.668827
17.448030	0.279503
17.450100	0.668827
17.452170	1.058151
17.454240	0.279503
17.456310	0.279503
17.458380	-0.109821
17.460450	0.279503
